date,gross_return,turnover,transaction_cost,net_return,active
2011-02-28,0.0,0.0,0.0,0.0,0
2011-03-31,-0.00685,1.0,0.0005,-0.00735,1
2011-04-30,-0.047269,0.0,0.0,-0.047269,1
2011-05-31,-0.100615,0.0,0.0,-0.100615,1
2011-06-30,-0.158717,0.0,0.0,-0.158717,1
2011-07-31,-0.014936,0.666667,0.000333,-0.01527,1
2011-08-31,0.005592,0.0,0.0,0.005592,1
2011-09-30,-0.062131,0.666667,0.000333,-0.062465,1
2011-10-31,0.02203,0.666667,0.000333,0.021697,1
2011-11-30,0.046035,0.0,0.0,0.046035,1
2011-12-31,0.063901,0.0,0.0,0.063901,1
2012-01-31,0.066902,0.666667,0.000333,0.066569,1
2012-02-29,-0.044091,0.0,0.0,-0.044091,1
2012-03-31,-0.03771,0.0,0.0,-0.03771,1
2012-04-30,-0.023998,0.0,0.0,-0.023998,1
2012-05-31,0.080347,0.0,0.0,0.080347,1
2012-06-30,0.06079,0.0,0.0,0.06079,1
2012-07-31,0.027158,0.0,0.0,0.027158,1
2012-08-31,-0.001474,0.0,0.0,-0.001474,1
2012-09-30,-0.010209,0.0,0.0,-0.010209,1
2012-10-31,0.066903,0.0,0.0,0.066903,1
2012-11-30,0.067558,0.0,0.0,0.067558,1
2012-12-31,0.091838,0.0,0.0,0.091838,1
2013-01-31,0.059766,0.0,0.0,0.059766,1
2013-02-28,0.083414,0.0,0.0,0.083414,1
2013-03-31,0.030582,0.0,0.0,0.030582,1
2013-04-30,0.07785,0.0,0.0,0.07785,1
2013-05-31,0.023308,0.0,0.0,0.023308,1
2013-06-30,0.085679,0.0,0.0,0.085679,1
2013-07-31,0.064069,0.0,0.0,0.064069,1
2013-08-31,0.120561,0.0,0.0,0.120561,1
2013-09-30,0.098306,0.0,0.0,0.098306,1
2013-10-31,0.031315,0.0,0.0,0.031315,1
2013-11-30,0.044158,0.0,0.0,0.044158,1
2013-12-31,0.01035,0.0,0.0,0.01035,1
2014-01-31,0.026666,0.0,0.0,0.026666,1
2014-02-28,0.004404,0.0,0.0,0.004404,1
2014-03-31,0.047584,0.0,0.0,0.047584,1
2014-04-30,0.037663,0.0,0.0,0.037663,1
2014-05-31,0.057697,0.0,0.0,0.057697,1
2014-06-30,-0.004026,0.0,0.0,-0.004026,1
2014-07-31,0.055121,0.0,0.0,0.055121,1
2014-08-31,0.034429,0.0,0.0,0.034429,1
2014-09-30,0.063067,0.0,0.0,0.063067,1
2014-10-31,-0.002815,0.0,0.0,-0.002815,1
2014-11-30,0.033681,0.0,0.0,0.033681,1
2014-12-31,0.025189,0.0,0.0,0.025189,1
2015-01-31,0.054283,0.0,0.0,0.054283,1
2015-02-28,0.012604,0.0,0.0,0.012604,1
2015-03-31,0.007364,0.0,0.0,0.007364,1
2015-04-30,0.025019,0.0,0.0,0.025019,1
2015-05-31,-0.060277,0.0,0.0,-0.060277,1
2015-06-30,-0.080582,0.0,0.0,-0.080582,1
2015-07-31,-0.017842,0.0,0.0,-0.017842,1
2015-08-31,0.062344,0.0,0.0,0.062344,1
2015-09-30,0.0669,0.0,0.0,0.0669,1
2015-10-31,-0.085227,0.0,0.0,-0.085227,1
2015-11-30,-0.10544,0.0,0.0,-0.10544,1
2015-12-31,-0.007577,0.0,0.0,-0.007577,1
2016-01-31,0.059252,0.0,0.0,0.059252,1
2016-02-29,0.092798,0.0,0.0,0.092798,1
2016-03-31,0.016727,0.0,0.0,0.016727,1
2016-04-30,0.074675,0.0,0.0,0.074675,1
2016-05-31,0.057185,0.0,0.0,0.057185,1
2016-06-30,0.074646,0.0,0.0,0.074646,1
2016-07-31,-0.005757,0.0,0.0,-0.005757,1
2016-08-31,0.032953,0.0,0.0,0.032953,1
2016-09-30,0.041997,0.0,0.0,0.041997,1
2016-10-31,0.091965,0.0,0.0,0.091965,1
2016-11-30,0.076972,0.0,0.0,0.076972,1
2016-12-31,0.064242,0.0,0.0,0.064242,1
2017-01-31,0.056753,0.0,0.0,0.056753,1
2017-02-28,0.034044,0.0,0.0,0.034044,1
2017-03-31,0.032215,0.0,0.0,0.032215,1
2017-04-30,0.039027,0.0,0.0,0.039027,1
2017-05-31,0.031838,0.0,0.0,0.031838,1
2017-06-30,0.052516,0.0,0.0,0.052516,1
2017-07-31,0.054831,0.0,0.0,0.054831,1
2017-08-31,0.077445,0.0,0.0,0.077445,1
2017-09-30,0.056094,0.0,0.0,0.056094,1
2017-10-31,0.085576,0.0,0.0,0.085576,1
2017-11-30,0.029621,0.0,0.0,0.029621,1
2017-12-31,0.005818,0.0,0.0,0.005818,1
2018-01-31,-0.042204,0.0,0.0,-0.042204,1
2018-02-28,0.03388,0.0,0.0,0.03388,1
2018-03-31,0.060739,0.0,0.0,0.060739,1
2018-04-30,0.080855,0.0,0.0,0.080855,1
2018-05-31,0.077793,0.0,0.0,0.077793,1
2018-06-30,0.063239,0.0,0.0,0.063239,1
2018-07-31,-0.05616,0.0,0.0,-0.05616,1
2018-08-31,-0.088486,0.0,0.0,-0.088486,1
2018-09-30,-0.185106,0.0,0.0,-0.185106,1
2018-10-31,-0.002293,0.0,0.0,-0.002293,1
