date,IWM,QQQ,SPY
2011-02-28,0.0,0.0,0.0
2011-03-31,0.4422,0.3498,0.2081
2011-04-30,0.4581,0.3511,0.1909
2011-05-31,0.4528,0.4401,0.1072
2011-06-30,0.4868,0.4989,0.0144
2011-07-31,0.2476,0.4641,-0.2883
2011-08-31,0.0463,0.5659,-0.3878
2011-09-30,-0.0033,0.2661,-0.7306
2011-10-31,0.2599,0.3408,-0.3993
2011-11-30,0.4137,0.2983,-0.288
2011-12-31,0.5288,0.4091,-0.0621
2012-01-31,0.4436,0.3613,0.195
2012-02-29,0.5134,0.2991,0.1876
2012-03-31,0.3483,0.3269,0.3249
2012-04-30,0.3957,0.3602,0.244
2012-05-31,0.4384,0.386,0.1756
2012-06-30,0.4332,0.3752,0.1917
2012-07-31,0.3993,0.4072,0.1935
2012-08-31,0.4185,0.382,0.1995
2012-09-30,0.385,0.3649,0.2502
2012-10-31,0.4009,0.3839,0.2152
2012-11-30,0.3922,0.3965,0.2113
2012-12-31,0.3881,0.4224,0.1895
2013-01-31,0.3951,0.351,0.2539
2013-02-28,0.3763,0.3805,0.2432
2013-03-31,0.3859,0.3622,0.2518
2013-04-30,0.3606,0.3365,0.3029
2013-05-31,0.3969,0.3387,0.2644
2013-06-30,0.3641,0.3391,0.2968
2013-07-31,0.3897,0.3382,0.2722
2013-08-31,0.3569,0.3839,0.2592
2013-09-30,0.3349,0.3676,0.2975
2013-10-31,0.3172,0.3584,0.3245
2013-11-30,0.3268,0.3485,0.3247
2013-12-31,0.3261,0.3507,0.3232
2014-01-31,0.336,0.3718,0.2922
2014-02-28,0.3358,0.3912,0.273
2014-03-31,0.3175,0.4017,0.2809
2014-04-30,0.3017,0.3884,0.3099
2014-05-31,0.3019,0.3885,0.3096
2014-06-30,0.2795,0.4001,0.3204
2014-07-31,0.31,0.3774,0.3126
2014-08-31,0.2691,0.412,0.3189
2014-09-30,0.3,0.3945,0.3054
2014-10-31,0.2658,0.417,0.3171
2014-11-30,0.2965,0.3893,0.3141
2014-12-31,0.2671,0.4081,0.3249
2015-01-31,0.3073,0.3821,0.3106
2015-02-28,0.3158,0.403,0.2812
2015-03-31,0.3234,0.3875,0.2891
2015-04-30,0.3241,0.369,0.307
2015-05-31,0.3161,0.3478,0.3362
2015-06-30,0.2423,0.4159,0.3418
2015-07-31,0.2368,0.4181,0.3451
2015-08-31,0.1951,0.4552,0.3497
2015-09-30,0.1925,0.4566,0.3509
2015-10-31,0.1874,0.4605,0.3521
2015-11-30,0.2106,0.4415,0.3479
2015-12-31,0.1823,0.4631,0.3546
2016-01-31,0.1892,0.4666,0.3442
2016-02-29,0.2075,0.5022,0.2903
2016-03-31,0.1809,0.4789,0.3401
2016-04-30,0.1854,0.4603,0.3543
2016-05-31,0.2202,0.4678,0.312
2016-06-30,0.2884,0.3973,0.3143
2016-07-31,0.2699,0.3958,0.3343
2016-08-31,0.3236,0.369,0.3074
2016-09-30,0.2692,0.4071,0.3237
2016-10-31,0.3421,0.3482,0.3096
2016-11-30,0.3322,0.3482,0.3196
2016-12-31,0.326,0.3529,0.3211
2017-01-31,0.2855,0.3949,0.3195
2017-02-28,0.2772,0.4047,0.3181
2017-03-31,0.2684,0.4119,0.3197
2017-04-30,0.2663,0.4262,0.3075
2017-05-31,0.2708,0.4141,0.3151
2017-06-30,0.272,0.4135,0.3145
2017-07-31,0.2869,0.3967,0.3164
2017-08-31,0.2825,0.4001,0.3174
2017-09-30,0.2756,0.4052,0.3192
2017-10-31,0.2832,0.4044,0.3124
2017-11-30,0.275,0.402,0.323
2017-12-31,0.2715,0.4046,0.3239
